B11,B12,Clay_CMR,Elevation,Iron_Oxide,Label,NDSI,NDVI,NDWI,Site
3154.0,2974.0,1.0605245460659045,2303,1.5392479758473996,1,-0.18046285212039948,0.0461064837872982,-0.16819672286510468,"Atacama, Chile"
646.0,373.0,1.7319034852546917,3661,1.0170692897439606,1,0.8291005492210388,-0.03885933756828308,0.030479172244668007,"Uyuni, Bolivia"
2365.75,1352.25,1.7494915880939175,3968,1.1408132977144554,1,0.4316345751285553,-0.004994377959519625,-0.03113568015396595,"Hombre Muerto, Argentina"
4230.8,3626.75,1.166554077341973,1366,1.4670731707317073,1,-0.2773897349834442,0.06645973026752472,-0.14523810148239136,"Clayton Valley, USA"
1393.5,701.5,1.9864575908766928,280,1.781309118426031,1,-0.5732430219650269,0.7239357233047485,-0.7326732873916626,"Greenbushes, Australia"
4612.5,4236.5,1.0887525079664817,186,1.241528807758129,1,-0.17249560356140137,0.018994472920894623,-0.07296837866306305,"Pilgangoora, Australia"
2417.0,2047.0,1.180752320468979,427,1.9363957597173145,1,-0.669967770576477,0.26855313777923584,-0.42645588517189026,"Mount Marion, Australia"
3285.6666666666665,3265.1,1.0062989392872093,180,2.6498533724340176,1,-0.5876621007919312,0.08097882568836212,-0.3497752249240875,"Wodgina, Australia"
730.5,385.0,1.8974025974025974,289,1.2814397224631398,1,-0.42467090487480164,0.4411347508430481,-0.44181644916534424,"Tanco, Canada"
2404.0166666666664,1737.3333333333335,1.3837394474290097,1145,1.7238485344984524,1,-0.6219291687011719,0.4053156077861786,-0.48633629083633423,"Bikita, Zimbabwe"
2333.5,1818.5,1.2832004399230135,635,1.547872340425532,1,-0.5179703831672668,0.3534131646156311,-0.42297208309173584,"Manono, Congo"
1282.0,757.0,1.6935270805812417,294,1.224400871459695,1,-0.548620879650116,0.7379342317581177,-0.6659464836120605,"Kings Mountain, USA"
3114.0,2776.0,1.1217579250720462,1481,1.6061746987951806,1,-0.3746826946735382,0.13006240129470825,-0.2395651638507843,"Thacker Pass, USA"
2228.3333333333335,2235.0,0.9970171513795676,3472,1.3551724137931034,1,-0.1470487266778946,0.019868651404976845,-0.104727603495121,"Salar de Arizaro, ARG"
1547.5,1435.4,1.0780966977845896,4642,1.9619392185238784,1,-0.2446102648973465,0.03281400725245476,-0.21302339434623718,"Salar de Rincon, ARG"
